tuyear,age,t0101,t0102,t0103,t0104,t0105,t0199,t0201,t0202,t0203,t0204,t0205,t0206,t0207,t0208,t0209,t0299,t0301,t0302,t0303,t0304,t0305,t0399,t0401,t0402,t0403,t0404,t0405,t0499,t0501,t0502,t0503,t0504,t0599,t0601,t0602,t0603,t0604,t0699,t0701,t0702,t0703,t0799,t0801,t0802,t0803,t0804,t0805,t0806,t0807,t0808,t0899,t0901,t0902,t0903,t0904,t0905,t0999,t1001,t1002,t1003,t1004,t1099,t1101,t1102,t1199,t1201,t1202,t1203,t1204,t1205,t1299,t1301,t1302,t1303,t1304,t1399,t1401,t1499,t1501,t1502,t1503,t1504,t1505,t1506,t1599,t1601,t1699,t1801,t1802,t1803,t1804,t1805,t1806,t1807,t1808,t1809,t1810,t1811,t1812,t1813,t1814,t1815,t1816,t1818,t1899,t5001,t5099,ttotal
2012,35 to 44,511.03769,38.058357,2.3552346,.5297575,0,0,41.268616,37.161423,3.7359459,2.6977761,6.9633942,5.2571397,2.2608881,.72936833,8.2777081,.15362814,44.880444,6.1077151,.87585115,.88211489,.6570484,0,2.0317159,.073435955,.39518064,.15505531,1.9951819,.020357903,262.63855,.24327165,.89962447,2.4272792,0,4.6764565,0,5.9463902,.06337145,.37452888,22.892738,.04172435,0,0,.019432792,.34243402,0,2.5275223,.86569434,.06845019,.054246295,0,.0057216031,.017520975,.19780557,.025321417,0,.21232161,0,.15387876,.21629541,0,0,0,64.972282,.14630881,0,34.523167,5.4703178,183.12587,3.1039026,.037879478,0,16.865097,1.802107,.01752945,0,0,6.7831364,0,1.9969057,2.731216,.60612178,.63179356,1.0689789,.070233233,1.1102394,3.2350361,.46620992,.9094159,2.300333,9.3412056,2.3431168,23.257229,1.6116452,14.369916,1.6594833,.30576691,.28896889,7.1627684,8.1450596,2.9157159,1.0726558,1.4588687,.056621268,.0029262833,.96021175,9.6021776,0,1439.9999
2013,35 to 44,511.49438,40.518234,3.5663218,.19054739,0,0,40.063087,41.451935,3.171999,2.3631883,7.1836572,4.4965277,2.4038837,.9574455,8.6048155,.0056145987,49.002594,6.8447161,1.2078552,.4241263,.65549076,.025892075,1.4098052,.058623943,0,.19063884,2.9637053,0,263.37729,.31745237,.57350773,2.8172784,0,1.5491148,0,3.5128567,0,.18621443,23.147028,0,0,0,.034087334,.1993293,.033168115,2.4923627,.84512937,.18914649,.14486757,0,.036891423,.036941852,.29204512,.001737277,.0033224092,.29207638,.037145022,.41745284,0,.040090572,0,0,63.389168,.1802274,0,35.984547,3.9277875,176.27292,4.9733315,.053205051,.03993522,13.822853,1.3089819,.013000946,0,0,7.4351244,.0074376306,1.3597524,1.8361686,.22334042,.62492162,1.2436696,.0033490947,1.2893804,2.6432865,.80452186,.70861125,2.4312687,10.974818,3.1715357,22.170946,.30789486,15.268976,2.0018573,.26775104,.073456816,6.3064604,8.4281559,2.3499365,1.1524564,1.0630372,.16256844,.1116375,1.8564893,13.923618,0,1439.9996
2014,35 to 44,504.91965,40.914768,2.0137043,.26977411,0,0,37.747997,40.493755,3.883167,2.7056313,9.9069147,5.4972944,5.347445,.516469,7.0542173,.038734533,48.76646,6.3588037,2.0856538,1.6108408,.57618505,0,2.0631952,.027083579,0,1.6079735,2.7470946,0,271.80292,.37573656,.76554388,3.6471305,0,2.126487,0,4.5224347,.088834353,.22879381,21.52599,.018437605,0,.001598641,.056102019,.24249762,.061868299,1.5044117,.65489727,.13605095,.075245395,0,.050021674,.022559889,.25080612,0,0,.54810244,0,.16195004,.33898839,.062132675,0,0,61.218555,.1948878,0,33.61861,5.286912,171.62102,4.3476763,.19304745,0,15.954522,3.2987061,.019906156,0,0,6.8900599,0,2.1855853,2.0524039,.3589572,.99929768,1.301759,.029685751,1.6981348,2.9238098,1.368076,.66208202,1.7444326,11.037507,3.2336643,22.960945,.8903563,14.031713,1.5496455,.32870394,.26834145,5.0921569,8.9009485,2.8516052,1.3946183,1.3186651,.22163959,.015691679,1.333304,10.180022,0,1440.0002
2015,35 to 44,520.36365,40.279041,2.586535,.97070497,0,0,35.31847,43.075535,3.2516446,3.4819069,7.4722815,4.4282942,1.9442469,1.1441413,8.9048271,.13667217,50.063957,6.3782392,1.0180329,.79906845,.93405533,0,1.9398546,.071538545,0,.3548862,2.5828931,0,268.67535,.11352465,1.9891396,1.7372227,.038017582,.83411837,0,4.2349472,0,0,22.697378,.025375161,0,0,.19265412,.21538068,0,2.4902046,1.6751741,.092441179,.056116447,0,.014654344,.17255154,.30732206,.0089998618,.0093903374,.40747404,.0086633926,.21735151,.38605607,.04833173,.010643853,0,62.057232,.12981154,0,30.102026,6.8093009,167.914,5.1893225,.0427678,0,17.395027,1.1036416,.13300969,0,0,6.9182706,0,1.3601928,2.2330685,1.2175716,.69817662,.93794906,.024368148,.96642154,2.9189866,.73573041,1.1369406,3.302249,10.822375,3.2405632,21.376863,.20406368,13.839089,1.9867145,.32233506,.22858389,5.9312019,8.898613,2.4383721,.86410749,.78332794,.21825287,.013246735,2.5828376,8.7644081,0,1440.0004
2016,35 to 44,509.79019,40.123051,1.6879042,1.1141418,0,0,38.0028,41.584763,3.3862689,2.201993,8.6734962,5.6345377,2.1838627,.67101526,9.7876463,.63410628,50.384331,5.7303267,1.2163787,.94348145,.66325098,0,2.2229495,.03006617,.0357606,.32657829,2.964071,0,280.73557,.037160829,.48352116,.47189754,0,2.2391958,0,3.5657272,.025822788,.015879188,22.29756,.016752863,0,0,.086296,.35388416,.062580377,1.4117101,.92548913,.39839822,.11609488,0,.013839651,.038321715,.14988154,.014048427,0,.33217525,.0049535749,.094108231,.18711063,.15137272,0,.0099800928,62.187805,.19065018,0,32.353825,4.4613256,168.13663,3.8428366,.040589456,0,16.7055,1.4775263,.033755053,0,.0063094217,7.6164422,0,1.8912145,2.3824611,.14642051,.60251439,.53580558,.011941028,1.0494218,3.3930426,.91231215,1.0166196,3.0335336,10.746915,2.5838459,22.524126,.26021069,13.915448,1.7789412,.44341621,.19299762,6.598156,9.0587254,2.3443053,1.1144241,.88570595,.7945919,.20040584,1.1444491,9.1525669,0,1440.0006
2017,35 to 44,514.2326,39.959881,1.412299,.7043016,0,0,33.1031,40.423798,2.9727046,2.3449399,6.5048046,5.365284,2.1026719,.80221498,8.1855831,.063981049,49.756462,5.5777144,1.9048437,1.1816192,1.0440539,0,.96440744,.066354923,.0024012257,.67024732,3.3461607,.0037576542,282.82693,.48758751,1.4767845,.79205596,0,2.0468521,0,4.0809202,.077947952,.0074659251,20.571253,.11518621,0,0,.020962598,.51173699,0,1.6771203,1.3565068,.24709192,.20830815,0,.024249453,.048087057,.11658069,.016623115,.0038689869,.48785436,.0066928947,.041196469,.029818492,0,0,0,63.466084,.24209319,0,31.377714,4.8937087,168.18633,4.6084929,.094446748,.079034023,15.348632,1.7649353,.066785023,.0015569751,0,7.1237569,.21098456,1.531086,3.2578492,.32391715,.12875117,.68931341,.048592076,1.5992204,3.1953037,.63017595,.90377104,1.9291799,11.143886,2.5226288,27.598751,.36095873,13.54383,1.6676477,.40230772,.025695698,6.3638368,7.835834,2.7420306,1.1028845,1.4800767,.033968724,.081556246,1.8443712,9.5721121,0,1440
2003,45 to 54,490.33853,40.637772,6.6210942,.88955063,0,0,39.332806,32.450314,7.4388127,4.3149991,14.360642,5.9846826,2.8003826,.83977234,12.446751,.31727117,11.301218,2.3010194,.55450779,1.386571,1.9250127,.0037593094,6.4196906,.049227864,.074306399,2.0682623,4.9285164,.13636728,267.44363,1.1399699,1.2110776,1.5131994,.012452519,1.6927829,0,1.3789495,.078602985,.0059041348,23.908585,.083028659,0,0,.011761358,.68050814,.096633486,3.3433211,1.1513028,.344356,.10527504,0,.022373058,.075739242,.28268611,.094341584,.017895384,.43418717,.025717339,.1026403,.070297249,.074052341,0,0,64.419357,.25314865,.0021167703,37.293007,5.1173978,203.49648,4.8977761,.22935219,.088841245,13.242876,2.2871337,.07046207,.00054067047,.03061093,7.9836464,.024725771,2.9355369,2.4002211,.62813598,.60466737,1.4824957,.18996565,1.4812205,4.7897258,1.6960047,1.0071074,2.2140477,5.632762,4.7031775,23.91256,.41149852,16.019447,2.7763159,.67524135,.11594909,7.1890869,9.4120865,2.2652218,1.2696437,1.2862407,.057716623,.10028802,2.2394776,7.306778,.43680364,1440.0004
2004,45 to 54,490.39493,41.917511,7.4141541,.29375765,0,0,39.362701,34.552917,9.7912989,5.1374102,12.916798,5.1931057,3.4484677,1.3465108,12.337226,.50825751,12.53249,2.4945984,.40897241,2.9060268,.98789662,.011787195,4.8386245,.012294626,.79232991,2.0236845,5.7034531,.010220367,264.22476,.50668508,.72839922,.65861541,.057846535,3.3100743,0,2.7367713,.0012585759,0,24.711134,.037970845,.016436975,0,.012724756,.54161704,.070149705,3.7258279,1.7709837,.25480101,.25223473,0,.029201884,.068217553,.37167501,.012223083,.0069332714,.74374044,.0091639291,.072791666,.027139761,.10012711,0,0,66.882088,.12777835,0,33.157475,6.2183757,199.15961,6.1746101,.18692231,.039007399,14.536636,1.592545,.014671586,0,0,6.6303988,.020226935,2.9731808,2.4139111,1.0324365,.53430074,1.5536063,.33987242,2.0749955,4.5013022,1.779772,1.0471497,2.1481295,4.894093,4.2393894,21.70849,.62271035,16.482851,3.0737944,.605627,.23971032,7.8086019,10.040908,2.1476505,1.1874529,1.2758914,.085087605,.27886346,2.0769653,5.6960034,0,1440
2005,45 to 54,492.03571,40.06102,5.985158,2.1369216,0,0,39.044891,33.490932,6.5189905,5.7166209,15.441309,7.2230535,3.9455414,1.2320802,15.524271,.10008252,11.817719,2.3792162,.66913271,.90027267,1.483438,0,4.644979,.015599812,.00022142942,1.3674957,3.5715635,0,276.02939,.97174227,1.8805391,1.8070787,0,2.5465662,0,1.9423083,0,0,22.209267,.18364108,0,0,.0014071001,.4919484,.026479425,2.6517861,1.0740474,.20994376,.24387845,0,.037683681,.082636811,.24979864,0,.050534252,.50905317,.099851139,.51461595,.020227246,.11610889,0,.00080283376,66.710266,.14403221,0,34.233662,3.3980839,199.27531,5.2597089,.14202844,0,14.602383,1.4652908,0,0,0,7.1383142,.0010623381,2.8172259,2.5003724,.20577644,.68870664,1.1463628,.11327947,1.3447564,3.4114244,1.6406132,1.0538536,2.4498184,5.6678843,3.9863496,22.923561,.40510252,14.399909,2.2712374,.30830258,.30711913,7.3710647,11.046372,1.9654292,1.2382315,1.0782779,.13055629,.026034847,.60328913,7.2714152,0,1440.0001
2006,45 to 54,497.97314,40.109573,6.8022275,.38732755,0,0,37.665321,33.53067,6.0535908,4.1496334,13.405433,8.4062576,2.9285645,1.6083764,11.513931,.23289762,12.109773,2.3931003,.31518444,.93516928,.91879982,0,4.1440611,.11546033,.031787403,.53744596,5.2098646,0,277.00089,.52515185,1.1222697,2.3636527,0,2.2373228,0,2.9268391,.010754936,.042726099,24.205446,.070798606,0,0,.00048790505,.41062045,.18164122,2.7251832,1.2080575,.50749034,.15814883,0,.021138106,.031990293,.23956186,.025021702,.054208528,.57612425,0,.19828871,.0099664666,.043676145,0,0,63.562275,.14027581,0,38.235699,4.5542974,195.86795,4.2772703,.1056747,.043331809,14.445147,1.5452522,.0078421617,0,0,5.8072128,0,2.266777,1.840338,.39065713,.79940486,1.1117973,.10289297,2.8723114,4.5298896,1.76989,.89756912,2.0322044,4.9118638,4.3635144,22.852764,.44626412,15.219522,2.6522467,.68833268,.10979453,6.2803154,10.371804,2.0000639,1.1931673,.96255237,.092989504,.021559523,1.6056085,10.616186,.030451769,1440.0001
