ID,Statistical weight (single-year data files),Age of youngest household child < 18,Age,Sex,Educational attainment,Race,Hispanic origin,Metropolitan status,Labor force status,Multiple job status,Full time or part time status,School Enrollment,School Level,Presence of spouse,Spouse¡¯s employment status,Weekly earnings,Number of children < 18 living in the household,Spouse¡¯s full time or part time employment status,Usual weekly hours of work (total),Day of week,Holiday
2.01706E+13,3205738,-1,57,Male,"Doctoral degree (PhD, EdD, etc.)",1,Hispanic,Metropolitan,Employed - at work,No,Full time,Blank,Blank,Unmarried partner present,Employed,288400,0,Full time,50,Sunday,Diary day was not a holiday
2.01706E+13,2118434,-1,80,Female,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",1,Non-Hispanic,Metropolitan,Unemployed - looking,Blank,Blank,Blank,Blank,No spouse or unmarried partner present,Blank,-1,0,Blank,-1,Sunday,Diary day was not a holiday
2.01706E+13,3190302,-1,68,Female,10th grade,1,Non-Hispanic,Metropolitan,Employed - at work,No,Part time,Blank,Blank,No spouse or unmarried partner present,Blank,34000,0,Blank,-4,Sunday,Diary day was not a holiday
2.01706E+13,1.18E+07,14,39,Female,High school graduate - diploma or equivalent (GED),1,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,No,Blank,No spouse or unmarried partner present,Blank,36400,1,Blank,45,Wednesday,Diary day was not a holiday
2.01706E+13,1.98E+07,-1,69,Female,High school graduate - diploma or equivalent (GED),1,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,Spouse present,Employed,-1,0,Full time,-1,Thursday,Diary day was not a holiday
2.01706E+13,6586393,-1,58,Female,9th grade,2,Non-Hispanic,Non-metropolitan,Not in labor force,Blank,Blank,Blank,Blank,No spouse or unmarried partner present,Blank,-1,0,Blank,-1,Tuesday,Diary day was not a holiday
2.01706E+13,3277859,-1,62,Female,"Bachelor's degree (BA, AB, BS, etc.)",2,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,Blank,Blank,Spouse present,Not employed,117307,0,Blank,40,Sunday,Diary day was not a holiday
2.01706E+13,6955626,-1,50,Male,"Bachelor's degree (BA, AB, BS, etc.)",1,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,Blank,Blank,No spouse or unmarried partner present,Blank,157692,0,Blank,40,Friday,Diary day was not a holiday
2.01706E+13,1.38E+07,8,34,Male,Associate degree - occupational/vocational,1,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,No,Blank,Spouse present,Employed,115384,1,Part time,44,Thursday,Diary day was not a holiday
2.01706E+13,5678384,4,34,Male,High school graduate - diploma or equivalent (GED),1,Hispanic,Metropolitan,Employed - at work,No,Full time,No,Blank,Spouse present,Not employed,-1,2,Blank,35,Sunday,Diary day was not a holiday
2.01706E+13,4205149,9,72,Male,11th grade,2,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,No spouse or unmarried partner present,Blank,-1,2,Blank,-1,Sunday,Diary day was not a holiday
