tuyear,age,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t18,t50,ttotal
2017,25 to 34,566.47571,91.758751,55.503372,4.157393,273.20541,19.564177,19.851336,4.1482096,.52292585,.15095359,62.592518,218.39531,19.860937,5.3266125,5.2231388,5.1098256,78.442123,9.7112875,1440.0001
2003,35 to 44,543.1134,119.3773,53.386471,7.2867599,264.33884,5.545773,25.271828,4.7762232,1.0391455,.37205225,63.121544,223.08717,17.212296,8.0665283,9.1582956,5.3017163,82.746803,6.797873,1440.0002
2004,35 to 44,540.66833,114.21445,52.530327,8.4998035,273.70981,8.3437881,24.494419,4.8094721,.7444967,.37583312,64.015007,221.60725,17.187887,6.1064525,8.6026182,5.0549684,83.445679,5.5894136,1440.0001
2005,35 to 44,547.51569,115.32669,50.492493,6.8949633,270.87271,6.2385421,25.522324,4.9842577,1.1197159,.28757399,64.51413,221.46051,16.777431,5.5578542,8.6495533,4.7359662,80.536133,8.5134754,1440.0001
2006,35 to 44,546.69617,113.45053,50.047131,8.012476,273.60953,8.0780869,28.093943,3.4643362,.83272302,.22341414,64.254547,216.57649,16.003757,6.2379575,8.3009262,4.3349853,82.901314,8.8816729,1440
2007,35 to 44,542.64587,113.27363,55.462082,5.9384546,274.03442,6.6539803,23.205349,3.8972692,1.089898,.49309897,63.532528,223.07506,17.771246,7.4606099,7.6288037,4.3337369,80.019852,9.4841032,1439.9999
2008,35 to 44,546.84503,113.53318,52.318932,6.0895452,273.32785,4.836339,25.989977,3.4193366,.66799718,.69514787,64.608391,220.51088,17.90205,7.219059,8.4150896,4.4156351,79.437271,9.7682848,1440.0001
2009,35 to 44,546.24792,111.21121,57.204292,7.151576,258.18173,6.9583583,23.333393,5.1883812,.89558399,.31694028,63.391998,227.93089,17.18288,7.621675,9.9337406,5.4468031,79.81749,11.985121,1439.9999
2010,35 to 44,546.94916,116.54282,54.463848,6.3785491,257.29022,7.4589119,23.58923,4.5810571,.48850185,.44095159,64.498253,220.34727,19.237047,8.2493782,8.2179337,3.7963467,80.108238,17.36228,1440.0001
2011,35 to 44,550.30408,115.19131,52.725418,8.3735924,253.80717,7.0214095,24.236744,3.8322365,.5309099,.611696,64.821503,222.32329,18.807577,8.7290745,8.0294104,4.8605876,79.812599,15.98141,1440.0001
2012,35 to 44,551.98102,108.50589,53.403172,4.6709275,266.20871,11.060747,22.934462,3.8835015,.45296958,.37017417,65.118591,226.26112,18.684734,6.7831364,8.2154884,3.701246,78.161911,9.6021776,1439.9998
2013,35 to 44,555.76947,110.70216,58.160675,4.6227732,267.08551,5.2481861,23.147028,3.9749823,.66326803,.4575434,63.569393,221.25172,15.144836,7.4425621,6.5805821,3.4478085,78.807861,13.923618,1439.9996
2014,35 to 44,548.11786,113.19163,59.397945,6.4453468,276.59134,6.9665499,21.546026,2.781095,.82146847,.56307113,61.413445,215.06726,19.273134,6.8900599,8.625823,4.2918859,77.836021,10.180022,1440.0001
2015,35 to 44,564.19995,109.15802,59.193352,4.9491725,272.55325,5.0690656,22.722752,4.7366257,.91440123,.66238314,62.187046,210.05742,18.63168,6.9182706,7.437748,3.654717,78.189735,8.7644081,1439.9998
2016,35 to 44,552.71527,112.76049,58.937771,5.5794253,281.72815,5.8466253,22.314314,3.3682926,.53938055,.44257167,62.378456,208.83521,18.223091,7.6164422,6.6197791,4.3053551,78.636818,9.1525669,1440
2017,35 to 44,556.30908,101.86909,59.464695,5.053329,285.58337,6.2131858,20.68644,4.0459762,.67970711,.071014963,63.708176,209.23973,17.18191,7.3347416,7.5787292,3.8254797,81.583214,9.5721121,1440
2003,45 to 54,538.48694,120.28643,17.472088,13.676371,271.32031,3.1562395,23.991613,5.7555308,.93056685,.24698989,64.674622,251.12285,15.631623,8.0083723,9.7222433,6.4857302,81.287872,7.7435818,1440
2004,45 to 54,540.02032,124.59469,19.341772,13.380607,266.1763,6.0481043,24.765541,6.6575408,1.2119533,.20005853,67.009865,244.93599,16.143852,6.6506257,10.922303,6.2810745,79.963364,5.6960034,1440.0001
2005,45 to 54,540.21881,128.23778,17.249779,9.5998592,280.68875,4.4888744,22.392908,4.737174,.99187404,.65175492,66.854301,242.30879,16.067673,7.1393766,8.8164797,5.0520377,77.232391,7.2714152,1440
2006,45 to 54,545.27228,119.49467,16.672026,10.03862,281.01196,5.2176428,24.276245,5.2127676,.92690665,.25193131,63.702549,243.08423,15.99824,5.8072128,9.3841791,6.2997794,76.702141,10.646638,1440.0001
2007,45 to 54,540.59198,125.30875,17.288214,7.7505527,276.19693,4.2222128,23.982634,5.4497509,1.1175311,.22033799,65.760429,245.37173,16.914076,8.9881487,9.353898,5.4345341,76.373756,9.6745338,1440.0001
2008,45 to 54,545.56677,116.1641,19.054758,9.83564,275.91672,4.7738347,21.324341,4.8606606,.85639966,.24933669,64.761383,252.11411,16.903757,9.087039,10.285709,6.1733475,72.896042,9.1760101,1440
2009,45 to 54,544.79877,122.16601,18.192268,9.2024221,258.22293,3.5950003,23.128345,5.6844525,.84565657,.49575621,65.409874,258.9353,17.772816,8.8607378,10.693991,5.6898413,76.147331,10.158494,1439.9999
2010,45 to 54,539.82648,122.16705,17.448784,12.178827,260.75574,5.4045987,22.757042,4.7013054,.9914012,.41452652,66.320061,253.03372,15.649947,10.577048,8.7102909,5.2146821,74.558769,19.289738,1440
2011,45 to 54,548.68646,116.95248,20.241329,11.869786,258.02994,4.2208929,24.140961,5.8554459,.82310176,.363619,65.562332,254.61533,14.05809,9.0251398,8.2911215,4.6963921,79.689346,12.878267,1440.0002
2012,45 to 54,551.00574,111.57304,18.443676,8.2274847,271.62692,3.1540821,20.464821,4.6047459,.61572266,.2288121,65.300812,260.03952,16.901846,8.6583939,8.0990915,4.4320102,75.689659,10.933636,1440.0001
2013,45 to 54,558.6297,118.17625,20.770082,9.0501385,257.37665,3.3964317,22.962072,3.9836402,1.0788432,.20123503,63.877628,251.99992,15.159051,8.3930168,9.0251427,4.6916389,77.130951,14.097564,1440
2014,45 to 54,560.54865,117.08562,18.563652,9.2463818,259.35095,3.0526812,23.161663,5.2442064,1.1722029,.57217509,64.943092,257.67041,15.77946,7.4868817,8.0958815,4.8798914,72.051849,11.094334,1440
2015,45 to 54,548.79309,121.76543,17.019835,10.670133,264.78506,4.8103099,23.355381,6.2014666,1.5200757,.23642665,61.605881,253.32314,16.450676,8.8519382,9.6339169,4.1336884,78.395447,8.4481449,1440.0001
