tuyear,age,t0101,t0102,t0103,t0104,t0105,t0199,t0201,t0202,t0203,t0204,t0205,t0206,t0207,t0208,t0209,t0299,t0301,t0302,t0303,t0304,t0305,t0399,t0401,t0402,t0403,t0404,t0405,t0499,t0501,t0502,t0503,t0504,t0599,t0601,t0602,t0603,t0604,t0699,t0701,t0702,t0703,t0799,t0801,t0802,t0803,t0804,t0805,t0806,t0807,t0808,t0899,t0901,t0902,t0903,t0904,t0905,t0999,t1001,t1002,t1003,t1004,t1099,t1101,t1102,t1199,t1201,t1202,t1203,t1204,t1205,t1299,t1301,t1302,t1303,t1304,t1399,t1401,t1499,t1501,t1502,t1503,t1504,t1505,t1506,t1599,t1601,t1699,t1801,t1802,t1803,t1804,t1805,t1806,t1807,t1808,t1809,t1810,t1811,t1812,t1813,t1814,t1815,t1816,t1818,t1899,t5001,t5099,ttotal
2014,55 to 64,506.00952,41.695267,7.0264397,0.30824539,0.005215725,0,33.852547,38.396408,3.8505607,5.1452413,15.329667,8.5773106,3.5128243,1.0991729,12.528261,0,3.9286933,1.3785964,0.05333221,2.0619042,0.60022312,0,6.7923045,0.25044811,0.047844693,0.85116565,3.351855,0.002319549,219.48387,0.59577405,1.6714029,1.2489104,0,0.88492274,0,1.1500416,0,0,22.579485,0,0,0,0.000205195,0.38082883,0.081790805,4.635613,1.1332647,0.17775945,0.22679748,0,0.019235237,0.040680397,0.34763473,0.015786329,0.019483708,0.35810548,0.022262966,0.13991003,0.32166082,0.022819037,0,0,66.640587,0.14075063,0,32.075432,2.6218441,262.63257,4.3264422,0.037722081,0,14.167248,1.0560575,0.064506948,0,0.11798182,10.125682,0,2.9178448,2.3218007,0.21833999,0.58833748,2.0538976,0.095264331,1.9189619,4.2242217,1.0807298,1.5204333,2.3597271,1.838963,3.2033978,18.493723,0.17058666,16.032017,2.6468749,0.46415365,0.11683396,5.5358329,8.083621,2.0643573,1.9463323,1.2661281,0.04011536,0,0.98308897,11.593976,0,1439.9996
2015,55 to 64,510.64038,41.507694,8.445962,0.45595196,0,0,36.334133,38.4156,3.4199274,5.6094999,19.949913,9.0855989,2.651408,0.94846523,14.935481,0.33785552,2.4941933,0.47190651,0.056885872,1.5784047,0.49409813,0,7.7754712,0.053170979,0.15647812,0.56785595,4.3215976,0.01173903,197.36772,0.11756001,1.8028045,1.8900465,0.13061738,1.0801073,0.012023654,1.3308598,0,0.010262111,22.561579,0.1426186,0,0,0.001013509,0.54835868,0.006685487,2.7761879,1.4102629,0.099492528,0.047020633,0,0.042799931,0.046634711,0.14801137,0.004562518,0.011078507,0.58056915,0.022135412,0.062115129,0.002341023,0.093235709,0,0,65.087128,0.199742,0,34.286156,3.0391004,261.53876,5.2924857,0.12583125,0,16.321636,1.148339,0.06765046,0,0,10.585486,0.001745417,3.8781555,2.8006403,0.69880825,0.39044613,2.0987692,0,1.2080941,4.7771544,1.5866543,0.86674345,3.5990205,2.0863962,3.8066638,18.80411,0.33186737,15.966394,2.5544529,0.33955428,0.078296825,6.2829151,9.0820045,3.2392848,1.147312,1.4415282,0.15079714,0.013474838,1.1084293,10.899601,0,1440
2016,55 to 64,511.77679,41.99641,5.8753839,0.34658253,0,0,36.234905,37.392513,3.8317809,3.718451,16.347614,9.8637714,2.0883005,0.80073613,13.024846,0.39570442,2.5613804,0.40666038,0.29096878,2.165108,0.49839371,0.20762128,9.6160269,0.21194623,0.10611517,1.5824093,4.1769929,0.12924546,203.72081,0.07199914,1.1650896,0.95824111,0,0.90764004,0,1.0008694,0,0.053476959,22.796131,0.027253833,0,0,0,0.42034817,0.065217629,4.9662251,1.1821861,0.56987178,0.10687304,0,0,0.081998669,0.81300586,0.028516104,0,0.35721403,0.003192636,0.13562292,0.099326022,0,0,0,65.329254,0.3292143,0,29.510345,4.1582704,263.79636,3.6237078,0.037468236,0,18.901327,1.6660271,0.20155784,0,0,11.616511,1.55028,3.3542295,1.9319383,0.73901832,0.84849387,0.34839773,0.034219861,1.2420752,4.8512344,2.0724814,0.83844304,3.1799223,1.6715024,5.6770749,15.782216,0.10644291,16.462658,2.7821321,0.50611645,0.17352062,5.6412988,9.6609249,2.8124106,1.7689698,0.80036241,0.051237859,0.000648863,1.9870306,8.776886,0,1440.0001
2017,55 to 64,504.56436,41.830498,10.093685,0.62599474,0,0,37.803818,37.402542,5.816576,4.5093427,17.570978,9.8444948,1.8169744,1.3342209,11.113254,1.0228542,3.2348466,0.47000122,0.002641199,4.3302569,0.94004375,0,6.942235,0.23367444,0.003257153,1.9586846,4.4288106,0,211.82578,0.17224206,2.3914404,1.9777317,0,0.62392116,0,0.26857007,0.032094598,0.021652654,21.363514,0.011816604,0,0,0.005595216,0.5856238,0,3.8895924,0.81466806,0.045724396,0.13974619,0,0.016129432,0.029197307,0.44296435,0.027782002,0.04084605,0.31096181,0,0.41425866,0.13009784,0,0,0.061498929,63.948853,0.30648607,0,29.965452,3.8561568,262.04077,4.5532637,0.012943746,0,12.993049,1.8473765,0.006971924,0,0,9.8470726,0.031003779,3.2001593,2.7912555,0.33920771,0.26153004,0.7090587,0.47291693,2.0260968,4.9403219,1.1525879,1.1747068,2.5372872,1.8266276,4.588758,19.614017,0.085434787,14.752461,2.8940976,0.44385853,0.23502676,6.6271858,7.9881001,2.2248912,1.1503769,1.0620543,0.10953111,0.14818721,3.0381739,10.659199,0,1439.9999
2003,over 65,531.64642,36.352947,10.53736,0.8131634,0,0.003637114,51.812138,45.094406,5.4867396,5.3269215,21.821724,5.8401284,1.9778506,1.7868053,18.28137,0.27462819,0.620242,0.047157895,0,4.44835,1.3124189,0.027692843,5.9117193,0.14416562,0.1604833,2.3234239,5.1291528,0.003763244,39.725655,0.2403706,1.5024606,0.16837342,0,0.40897858,0,0.36567563,0.006755643,0,23.894714,0.13974136,0,0,0,0.75352854,0.009666729,6.2785435,1.8541156,0.17821127,0.056337282,0,0.085217163,0.25254005,1.5885164,0.053684652,0.015489005,0.52742434,0.016514441,0.1556816,0.21436186,0.004580793,0,0,83.026085,0.34176114,0,40.958027,5.4326944,353.52365,5.1526275,0.17229676,0.009812768,12.657236,1.2211167,0.030611575,0,0.043234073,11.843867,0.21095645,4.2753572,2.6927078,0.95628905,0.39587098,0.96670294,0.10354462,1.556636,6.5677581,2.9139719,0.26108167,2.4234827,1.2995806,4.7787404,3.2163215,0.11951292,14.13988,3.1586382,0.46390024,0.12952802,7.4278827,9.024847,2.0211139,2.1114171,1.3373486,0.023672028,0.002294579,2.7895198,14.306093,0.23038574,1440.0001
2004,over 65,531.39783,36.679817,11.252216,0.029101953,0,0,48.216873,41.469975,7.8683391,5.5652356,21.825651,5.8825483,2.1661229,1.8154267,19.929363,0.47706527,1.1022627,0.26702979,0,3.6260467,0.65547037,0,6.4948602,0.21326944,0.066976406,1.6257384,3.4239047,0.052102171,36.569172,0.064567506,1.2804558,0.045633696,0.023978641,1.2857244,0.021320716,0.42206538,0.003914387,0,23.785244,0.01462082,0,0,0,0.67684406,0.031229444,5.9994044,2.0032828,0.37199414,0.032721464,0,0.093546003,0.10820681,1.1154306,0.050326388,0.13962579,0.44382685,0,0.059746228,0.070812553,0.096980862,0,0,82.741814,0.16666141,0,39.584808,4.9263916,363.94553,6.0810556,0.092348963,0.019088021,14.075302,0.59429204,0.04442127,0,0.021544354,12.252363,0.003290557,4.7699881,2.1894202,0.6205743,0.40546575,0.86925864,0.29224193,2.362515,5.7309861,2.2094388,0.31372359,2.4305909,1.1189928,5.3698673,2.7298377,0.27248499,13.895247,3.55843,0.52765983,0.14409502,9.0705204,9.6037502,1.7532117,2.1421452,1.2853032,0.092254214,0.005779033,1.237552,13.535856,0,1440.0001
2005,over 65,537.72076,37.850422,12.410633,0.19503693,0.052791074,0,44.544075,41.116859,5.7489853,4.3584404,21.79776,5.9991155,1.5941569,2.0152004,20.460752,0.008843758,1.3430674,0.05252203,0,2.0243409,0.57024652,0,6.1202264,0.096077375,0.055582337,1.1683155,3.9733548,0.003905344,36.575935,0.058402058,0.61749673,0.019285358,0,1.4300978,0,0.95133287,0.007007678,0.02395946,26.307947,0.10186108,0,0,0,0.94423085,0.13244085,4.7267919,1.4333916,0.37079814,0.009705596,0,0.00344983,0.14609179,0.49959576,0.006198094,0.035822846,0.36100528,0.025134763,0.13659309,0.21592304,0.14116418,0,0,80.290749,0.13242204,0,40.442963,3.9807255,362.58383,4.9320345,0.18114983,0.007130364,13.977073,0.40607336,0.041526407,0,0,11.084639,0.041251354,4.6203375,3.0150034,0.44999924,0.62749344,1.4652836,0.14050053,2.3015637,5.3810606,3.4112368,0.40429309,2.7487333,1.3972788,4.3545918,3.3191099,0.24598844,15.182343,3.3515918,0.60799062,0.19639456,8.2238531,11.912538,1.6506423,1.8906505,2.3674791,0.059637062,0.031018522,0.73890567,15.239787,0,1440.0005
2006,over 65,534.78589,38.771652,11.062879,0.32781106,0,0,49.345139,43.807182,4.5915437,7.0477495,20.334644,6.4220958,2.4726405,1.8936988,16.725395,0.10006659,0.99286711,0.11499301,0.005551595,5.0067077,0.65578681,0,7.0292482,0.25712377,0.069703579,1.2021117,3.4862623,0,34.687798,0.21753223,1.6339762,0.038768336,0,2.2047744,0,0.57791573,0,0.010882216,22.81119,0.016113035,0,0,0,0.47973588,0.057073209,5.693274,1.9335523,0.057799906,0.23204538,0,0.00354652,0.24645065,2.0481577,0.017277883,0.006943806,0.63761818,0.008837047,0.17529353,0.12523885,0.10479586,0,0.00709304,80.624367,0.25411999,0,42.513367,3.5144374,364.3277,4.6410971,0.004893865,0,12.841404,1.3418232,0.007168384,0,0.021153728,10.802633,0.040733736,4.0421185,2.0222154,0.42813215,0.84228575,0.48957315,0.045116346,1.9882396,7.6051784,2.6584585,0.20800211,2.4004905,0.99539268,3.353045,2.6284316,0.36996904,13.046761,3.6677632,0.50352061,0.15523502,7.2930603,11.887909,1.445114,1.9402384,1.529796,0.034690794,0.025235185,0.64081812,16.275915,0,1440.0004
2007,over 65,534.69934,36.902485,6.8574438,0.19146694,0.01010238,0,48.026905,41.141579,4.2109604,4.7602639,22.744055,6.3969021,2.0840077,1.3305246,19.663857,0.030237857,1.4875344,0.093427561,0.001456929,2.9503446,0.41731566,0,5.9574556,0.14906877,0,1.346014,2.9954519,0.025638606,44.300121,0.069071002,2.5121098,0.031131895,0.012333283,1.1283153,0,0.21923399,0,0,23.697855,0.040695731,0,0,0,0.52381587,0.015091615,5.2515492,2.0865643,0.070291936,0.10559349,0,0.007024914,0.084735528,0.8185336,0.01373635,0.22894396,0.3184008,0,0.090680428,0.1338051,0.026014846,0,0,81.136154,0.056814861,0,40.966587,4.4077563,358.71246,3.5136828,0.009313577,0.06864503,16.207962,0.61760157,0.02158922,0,0,15.179505,0,3.4035838,3.1848545,0.36153394,0.34090108,1.834384,0,4.098022,6.0622425,2.4437823,0.31162921,2.0256798,1.3019938,3.5602765,2.9687784,0.11835324,13.621024,2.8976111,0.4439224,0.17260858,9.6673851,10.578511,2.020977,2.2035964,1.9904902,0.039663415,0,1.1782333,16.012371,0,1439.9998
2008,over 65,536.60638,39.121502,8.8791943,0.073300771,0,0,46.501492,39.747902,3.8253412,6.6743121,19.178888,6.9015126,1.3324126,0.80006069,17.633024,0,0.98587918,0.065269046,0.021338493,1.9615901,0.75135684,0,7.179431,0.037173383,0.019654298,0.44338855,2.8789902,0.001941547,44.01667,0,2.0305805,0.033148218,0,0.60120368,0,0.55400175,0,0,22.566355,0.020291455,0,0,0,0.670775,0.1356305,5.6337705,1.959237,0.021944584,0.042827431,0,0.14466251,0.11999547,0.74153602,0,0.03956591,0.6659646,0.033069704,0.16430849,0.45605099,0.003766404,0,0,82.223923,0.12076528,0,37.192352,3.7712913,367.82968,4.2739072,0.10403156,0,14.622812,0.96042454,0.006214367,0.001501062,0,15.18154,0,4.8304911,3.3612957,0.53505683,0.59920031,0.83702737,0.17639557,3.2071373,7.9916477,1.5310425,0.22129504,2.5588534,1.297459,3.4163289,3.6334696,0.1023422,13.585626,3.2771659,0.58328289,0.18532167,7.120831,10.65342,1.6326177,1.9665902,1.3292648,0.047328699,0.076292098,1.6244292,15.053664,0,1439.9999
